SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
InternetSites,,"Internet Sites",R1324,"Internet Sites",1000,Character,,1,LookupMulti,Left,0,,InternetSites,100,,,,,,0,,0,,,,,
InterviewYN,,"Interview YN",R1325,"Interview YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
LastChangeTimestamp,,"Last Change Timestamp",R1328,"Last Change Timestamp",23,DateTime,,1,,Left,0,,,,,,,,,0,,0,,,,,
LastChangeType,,"Last Change Type",R1329,"Last Change Type",75,Character,,1,Lookup,Left,0,,LastChangeType,1,,,,,,0,,0,,,,,
LastMonthRentReqYN,,"Last Month Rent Req YN",R1331,"Last Month Rent Req YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
Latitude,,Latitude,R1333,Latitude,11,Decimal,6,1,Number,Right,0,,,,,,-999,999,,0,,0,,,,,
LeasesPerYear,,"Leases Per Year",R1334,"Leases Per Year",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
LegalDesc,,"Legal Desc",R1335,"Legal Desc",255,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
LegalUnit,,"Legal Unit",R1336,"Legal Unit",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListAgent_MUI,,"List Agent MUI",R1337,"List Agent MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
ListAgentDirectWorkPhone,,"List Agent Direct Work Phone",R1338,"List Agent Direct Work P",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListAgentFullName,,"List Agent Full Name",R1340,"List Agent Full Name",150,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListAgentMLSID,,"List Agent MLSID",R1341,"List Agent MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListingOnInternetYN,,"Listing On Internet YN",R1343,"Listing On Internet YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListOffice_MUI,,"List Office MUI",R1344,"List Office MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
ListOfficeMLSID,,"List Office MLSID",R1345,"List Office MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListOfficeName,,"List Office Name",R1346,"List Office Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListOfficePhone,,"List Office Phone",R1347,"List Office Phone",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListPrice,,"List Price",R1348,"List Price",16,Decimal,2,1,Number,Right,0,,,,,,0,999999999999,,0,,0,,,,,
Longitude,,Longitude,R1349,Longitude,11,Decimal,6,1,Number,Right,0,,,,,,-999,999,,0,,0,,,,,
LotBack,,"Lot Back",R2622,"Lot Back",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
LotFrontage,,"Lot Frontage",R2623,"Lot Frontage",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
LotLeft,,"Lot Left",R2624,"Lot Left",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
LotRight,,"Lot Right",R2625,"Lot Right",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
LotUnit,,"Lot Unit",R1354,"Lot Unit",15,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
MasterBathDescription,,"Master Bath Description",R2691,"Master Bath Description",1000,Character,,1,LookupMulti,Left,0,,MasterBathDescription,100,,,,,,0,,0,,,,,
matrix_unique_id,,"Matrix Unique ID",R1355,"Matrix Unique ID",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,1,,,,,
MatrixModifiedDT,,"Matrix Modified DT",R1356,"Matrix Modified DT",23,DateTime,,1,,Left,0,,,,,,,,,0,,0,,,,,
MaxNumofOccupants,,"Max Numof Occupants",R1358,"Max Numof Occupants",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
MiddleSchool,,"Middle School",R1359,"Middle School",100,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
MinDaysofLease,,"Min Daysof Lease",R1360,"Min Daysof Lease",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
MLS,,MLS,R1361,MLS,75,Character,,1,Lookup,Left,0,,MLS,1,,,,,,0,,0,,,,,
MLSAreaMajor,,"MLS Area Major",R1362,"MLS Area Major",75,Character,,1,Lookup,Left,0,,MLSAreaMajor,1,,,,,,0,,0,,,,,
MLSNumber,,"MLS Number",R1364,"MLS Number",20,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
